nama;tanggal;ulasan;rating;sumber;Unnamed: 5;sentimen
Andys Mauraga;10/01/2026 12:40;coba dulu;5;Google Play Store;;Netral
Nuckdom;09/01/2026 22:21;the best starlink;3;Google Play Store;;Netral
Deni luqman alhamzah;09/01/2026 09:36;soo good;5;Google Play Store;;Netral
Asi Subandi;09/01/2026 08:42;aplikasi nya bagus untuk kita lakukan dengan android yg penting;5;Google Play Store;;Positif
Muslem Muslem;07/01/2026 17:36;good;5;Google Play Store;;Netral
Jekson Yoktetimera;07/01/2026 03:52;mantap;5;Google Play Store;;Netral
Walid Huzairi;06/01/2026 01:03;semoga awet dan slalu jaya;5;Google Play Store;;Netral
Yudi Kurniawan;05/01/2026 14:27;mantap;5;Google Play Store;;Netral
Wan Phone cell;05/01/2026 09:12;mantap;5;Google Play Store;;Netral
Eliaser Nabuasa;05/01/2026 08:25;good;5;Google Play Store;;Netral
Rhid;04/01/2026 12:05;baik;4;Google Play Store;;Positif
Yaswan SamsungA56;04/01/2026 10:14;terimahkasih sangat rekomendasi;5;Google Play Store;;Positif
Musakkier Etc;03/01/2026 04:32;Sangat bagus untuk wilayah pegunungan;5;Google Play Store;;Positif
Melki Sau;02/01/2026 15:43;coba dulu;1;Google Play Store;;Netral
Wahyu Abdilla;02/01/2026 14:24;good starlink;5;Google Play Store;;Netral
MARUDUT MANURUNG;02/01/2026 13:21;jossd;5;Google Play Store;;Netral
Dimas Oscar;02/01/2026 07:08;sangat mudah dan bermanfaat;5;Google Play Store;;Positif
Ledy Naike;02/01/2026 06:33;aplikasi nya bagus banget 🎉;5;Google Play Store;;Positif
Tutotliar Chanel;01/01/2026 14:56;aplikasi ini membuat ke pengguna di beri akses terbatas seperti aplikasi game tidak bisa di buka sampai di blokir dan saya tidak bisa bermain game war robots dan game clash of clans membuatku sangat kecewa my device resmi not 8pro pulih data server redmi not 8pro saya agar saya bisa bermain kedua game tersebut menggunakan jaringan WiFi starlink ini lagi;1;Google Play Store;;Netral
Ramli Best Ok;01/01/2026 01:52;mohon petunjuk, cara penggantian unit baru;5;Google Play Store;;Negatif
Taruna Jaya;31/12/2025 09:46;sangat membantu di daerah plosok;5;Google Play Store;;Netral
MURTSID AL GANAWY Murtsid;30/12/2025 22:13;bagus;5;Google Play Store;;Positif
Jh Jg;29/12/2025 07:13;luar biasa;5;Google Play Store;;Negatif
Andi Irwan;28/12/2025 17:17;jaringan ini sangat membantu..;5;Google Play Store;;Positif
Inspeksi Gardu;27/12/2025 14:14;strlink mantal;5;Google Play Store;;Netral
kamaruddin nur;27/12/2025 11:40;luar biasa;5;Google Play Store;;Negatif
Putra Sumatra New;26/12/2025 14:52;sangat membantu;5;Google Play Store;;Positif
mendez tawwa;26/12/2025 14:27;mantap;5;Google Play Store;;Netral
Aditia Gunawan;26/12/2025 10:36;penggantian unit baru sdh berhasil di kirim dan sdh di pasang kembali dan sdh nyala iternetnya kembali,terima kasih atas cepatnya respon dari Starlink nya,sangat memuaskan;5;Google Play Store;;Positif
YT KAHISHA;25/12/2025 14:21;udah pakek hampir 6 bulan..joss mantap;5;Google Play Store;;Negatif
Affry Hardianto;25/12/2025 10:43;the best;5;Google Play Store;;Netral
Tolky Araujo martins;24/12/2025 23:51;rede starlink muito bem;5;Google Play Store;;Netral
MUSLIADI HUSEN_2;24/12/2025 13:14;mantap;5;Google Play Store;;Netral
Achmadmury Mulyamandea;24/12/2025 12:52;sangat membantu dalam semua aktivitas saat ini, terimakasih banyak sudah hadir di Indonesia;5;Google Play Store;;Positif
Wan Sohoi;24/12/2025 10:05;Excelent;5;Google Play Store;;Netral
djgrindland;23/12/2025 13:15;terdapat bug pada saat ingin change plan, saat memilih plan yang diinginkan untuk dibaca terlebih dahulu tapi aplikasi otomatis menutup deskripsi nya;4;Google Play Store;;Negatif
Atris Kiuk;23/12/2025 10:06;Starlink sangat bagus di kantor Desa untuk akses internet dengan mudah dan cepat.;5;Google Play Store;;Positif
andry blues;23/12/2025 09:54;nice;5;Google Play Store;;Netral
ABDUL HAMID KALIDUPA;22/12/2025 06:45;sangat bagus untuk membantu buat kebutuhan internet;5;Google Play Store;;Positif
MELVIN GAME;21/12/2025 23:20;starlink internet masa depan , agustus 2025 beli gen2 desember 2025 beli gen3 , lebih mantap gen2 serba otomatis tahan cuaca stabil dan topmatkotop , tapi untuk harga dan ringan bagus gen3 . terima kasih spacex .;5;Google Play Store;;Positif
FebriLeonnanta;21/12/2025 16:28;sangat membantu kami di kampung pelosok negri trimakasih starlink sudah masuk wilayah kami,semoga makin kedepan makin lancar.;5;Google Play Store;;Negatif
Joees Leta;21/12/2025 15:49;iya sangat memuaskan;5;Google Play Store;;Positif
Adjie Tafrihul;21/12/2025 13:42;kereeen;5;Google Play Store;;Negatif
jamansyah sirait;21/12/2025 11:40;Sangat membantu;5;Google Play Store;;Positif
andri yanto;21/12/2025 11:23;sangat membantu;5;Google Play Store;;Positif
MSB boyz;20/12/2025 14:40;sangat bagus;5;Google Play Store;;Positif
Filtor S;20/12/2025 11:17;sangat bermanfaat;5;Google Play Store;;Positif
GURU Tutorial;20/12/2025 10:26;koneksi bagus;5;Google Play Store;;Positif
Saintho toy;19/12/2025 12:36;sangat membantu dalam pekerjaan di dalam hutan.;5;Google Play Store;;Positif
Anto Anto;19/12/2025 07:00;biarlah bintang yang berbicara;5;Google Play Store;;Negatif
Isak Koromat;18/12/2025 23:22;mantap sekali;5;Google Play Store;;Netral
Rasik;17/12/2025 13:46;top;4;Google Play Store;;Positif
Zakaria Krisman;17/12/2025 12:41;sangat membantu pekerjaan;5;Google Play Store;;Positif
Yanto And Friends;16/12/2025 05:28;saya harap ada fitur berapa lama perangkat terhubung ke starlink;5;Google Play Store;;Netral
jamar gemini;16/12/2025 04:41;very good;5;Google Play Store;;Netral
Surti Talessy;16/12/2025 04:39;ok;5;Google Play Store;;Netral
Aerography Drone Kutim;15/12/2025 16:52;baik;5;Google Play Store;;Positif
Khair Khair;15/12/2025 16:01;semoga aman selalu;5;Google Play Store;;Positif
Hadi Eros;15/12/2025 11:56;sinyalnya baik dan lancar;5;Google Play Store;;Positif
Safri Ngadu;15/12/2025 05:17;sangat baik;5;Google Play Store;;Positif
Abang Lous;14/12/2025 14:11;good apk;5;Google Play Store;;Netral
Bang IR;14/12/2025 07:04;mantap;5;Google Play Store;;Netral
Daut Soko;13/12/2025 18:56;mantap;4;Google Play Store;;Netral
Andre Kebin;13/12/2025 16:58;mantebb;5;Google Play Store;;Netral
Kawi Kawox;13/12/2025 05:43;Bagus;5;Google Play Store;;Positif
Musa Rumbekwan;12/12/2025 13:52;is good;5;Google Play Store;;Netral
Aulia Rahman;12/12/2025 13:43;terbaik;5;Google Play Store;;Positif
RUSLY ROBO;12/12/2025 03:34;keren terbaiikk starlink memang membantu di semua dan seluruh penjuru daerah maupun negara yang tidak memiliki akses internet maupun jaringan satelit semoga menjadi sesuatu yang bermanfaat hingga seterusnya tanpa batas.. good job;5;Google Play Store;;Positif
Pemuda Dayak Pemuda Dayak Kalimantan Barat;11/12/2025 14:17;cocok untuk di daerah pelosok;5;Google Play Store;;Netral
Yayan Koswara;11/12/2025 09:41;aplikasinya udah bagus....fitur jeda perangkat yg sebelumnya tidak berfungsi sekarang sudah bisa, karna saya coba atur ulang ke pengaturan pabrik di aplikasi starlink dan berhasil👍👍👍;5;Google Play Store;;Positif
Kita Bisa;10/12/2025 20:55;kasih 4 bintang dlu;4;Google Play Store;;Negatif
Jumpit Agusetiono;10/12/2025 20:54;internet mahal jaringan sering hilang;1;Google Play Store;;Positif
wedwinrumihin rumihin;10/12/2025 04:27;verry good;5;Google Play Store;;Netral
Iskandar Tabligh;10/12/2025 02:20;mantap internet cepat;5;Google Play Store;;Positif
Jusmin S. Pd;09/12/2025 22:50;sangat puas;5;Google Play Store;;Netral
Syahril Galau;09/12/2025 12:24;oke lah mantap;5;Google Play Store;;Netral
Jur Jani34 official;09/12/2025 10:52;sangat membantu bagi kami yang belum tecaver jaringan fiber optic;5;Google Play Store;;Positif
Jasman Hadi;09/12/2025 03:47;dengan STARLINK gen 3 sangat keren dan juga sangat puas untuk saya. walaupun di lingkungan saya sangat banyak penghalang Tati tetap memutuskan.. sangat keren pokok nya. mantap 👍👍👍;5;Google Play Store;;Positif
Alhor Brs;09/12/2025 02:45;bagus buat oprasionanl;5;Google Play Store;;Positif
Fitra Mustapa;08/12/2025 12:09;sangat membantu;5;Google Play Store;;Positif
Ilham Ramadani;08/12/2025 11:06;cuaca buruk lumayan ngeleg;5;Google Play Store;;Netral
muhammad reza;07/12/2025 15:30;good;5;Google Play Store;;Netral
king luwu;06/12/2025 07:46;kalau bisa harga paketnya di turunkan lagi;5;Google Play Store;;Netral
Daniel Bubnina;05/12/2025 22:49;Singkat & PadatStarlink perlu fitur anti-scan barcode untuk WiFi supaya jaringan lebih aman;4;Google Play Store;;Negatif
Aditya Caesar Bagaskara;05/12/2025 08:47;good;5;Google Play Store;;Netral
Christian Makikama;05/12/2025 07:34;sulitnya menghubungi vs Starlink di Indonesia... nomor wa Starlink Indonesia tidak mereaponse chat atau telpon kita di jam kerja.;1;Google Play Store;;Negatif
Dimas Febri;04/12/2025 13:51;sangat membantu di saat bencana ini;5;Google Play Store;;Netral
Maurin Amtonis;04/12/2025 00:16;mempermudah dalam proses aktuvasi;5;Google Play Store;;Positif
erico pamri;02/12/2025 10:16;mantap;5;Google Play Store;;Netral
Mangkana Isyqi;01/12/2025 16:29;sangat sangat membantu;5;Google Play Store;;Positif
falen tinus;01/12/2025 15:08;mntap;5;Google Play Store;;Netral
Benny Adam;01/12/2025 13:06;mantap;5;Google Play Store;;Netral
Rekman Waruwu;01/12/2025 10:29;sangat mantap, signalnya tidak lelet;5;Google Play Store;;Negatif
Siti Zulaeha;01/12/2025 03:35;sangat terbantu dan kecepatan data yang bagus;5;Google Play Store;;Positif
Juanda Rido Esa Ndruru;01/12/2025 02:17;Sangat membantu;5;Google Play Store;;Positif
Faiz Nurwansyah;01/12/2025 01:43;saya hanya iseng mendaftar aplikasi ini karena mereka bilang mengratiskan koneksi gratis bagi korban bencana alam sumatra barat, walaupun daerah saya cukup banyak memakan korban mudah² an bisa cepat ditemukan;5;Google Play Store;;Positif
nando harsel;29/11/2025 16:53;mantap, recomended;5;Google Play Store;;Netral
Fatih aljadid;29/11/2025 09:36;✌️👍👍;5;Google Play Store;;Netral
Ahmad Akbar;26/11/2025 15:43;mantap;5;Google Play Store;;Netral
sman1 pantar;26/11/2025 06:19;Starlink TERBAIK;5;Google Play Store;;Positif
Ngkalay Lay;25/11/2025 20:44;siap;5;Google Play Store;;Positif
Muh Hasanuddin;25/11/2025 17:06;aman dan sangat baik jaringan di srgala medan dan cuaca;5;Google Play Store;;Positif
Erlandbsp89 Erlandbsp89;25/11/2025 10:12;sangat luar biasa membantu dalam kondisi apapun;5;Google Play Store;;Negatif
Mr Simple;25/11/2025 09:59;sangat sangat memuaskan dan sangat memanjakan pelanggan;5;Google Play Store;;Positif
Lisber Ibbe;25/11/2025 03:19;baik saja;5;Google Play Store;;Positif
Honey Husain;25/11/2025 02:37;sangat memuaskan apalagi kami yang berada di daerah 3T;5;Google Play Store;;Positif
La Bento;24/11/2025 20:42;mantap dan luar biasa...;5;Google Play Store;;Negatif
Reno Rensl;24/11/2025 09:43;mantap lancar;5;Google Play Store;;Netral
Urianto “Rian” Pak Krety;24/11/2025 07:44;sangat membantu orang2 yang jauh dari kata kemajuan dan sentuhan pemerintah.;5;Google Play Store;;Positif
PATRIC 88;24/11/2025 02:44;Sangat Baik;5;Google Play Store;;Positif
eanet chanel;23/11/2025 18:25;mantap;5;Google Play Store;;Netral
Dandi Gilang Ramadhan;23/11/2025 10:29;Awesome app!;5;Google Play Store;;Netral
YUNUS ANYEQ;23/11/2025 01:46;aplikasinya bagus, mudah dimengerti👍;5;Google Play Store;;Positif
Srigaya Efendi;23/11/2025 00:28;sangat bagus untuk area hutan;5;Google Play Store;;Positif
Teknisi CCTV;22/11/2025 23:46;Recommended;5;Google Play Store;;Netral
Tedi Udang;22/11/2025 21:46;terimakasih;5;Google Play Store;;Netral
Elektronic Anugerah;22/11/2025 05:37;sangat baik;5;Google Play Store;;Positif
Taufik Mutakin;21/11/2025 16:35;mantap;5;Google Play Store;;Netral
Junjungan Sihombing;21/11/2025 13:46;pengalaman online terbaik.;5;Google Play Store;;Positif
Lainkalogos Glamping;20/11/2025 12:45;sangat membantu kami di pulau;5;Google Play Store;;Positif
nanang setyawan;19/11/2025 21:55;Fast and Fast to Class Via Satellite;5;Google Play Store;;Netral
Ahmad Mujahidin;17/11/2025 10:03;Good Network;5;Google Play Store;;Netral
Anthoni Bongga Salu;17/11/2025 09:31;👍👍👍;5;Google Play Store;;Netral
Fajar Hulukati;17/11/2025 04:09;koneksi sangat baik, mohon terus di tingglatkan lagi;5;Google Play Store;;Positif
Anggri “Enk”;16/11/2025 15:22;good;5;Google Play Store;;Netral
Abdul Samad;16/11/2025 12:55;lumayan baik,mohon di tingkat kan lagi;3;Google Play Store;;Positif
Helmi Dawowo;15/11/2025 12:46;sangat bagus;4;Google Play Store;;Positif
BAJENX TUPAYY;15/11/2025 12:23;bagus;5;Google Play Store;;Positif
Sudrajat Wmx;14/11/2025 07:37;Penjelajah terbaik👍👍;5;Google Play Store;;Positif
Amarullah Sirap;14/11/2025 05:42;baik;5;Google Play Store;;Positif
Ris Kagansa;13/11/2025 22:12;mantap;4;Google Play Store;;Netral
Fernandus Sukarnoputra;13/11/2025 05:28;Perfect;5;Google Play Store;;Netral
Ivantri Ivan;13/11/2025 05:05;goodluck;5;Google Play Store;;Netral
Yopie Awad;13/11/2025 00:33;sangat bagus khusus kami yg dipelosok sangat2 membntu.. tangkapan nya luar biasa 👍👍;5;Google Play Store;;Negatif
ibc tarjun;12/11/2025 08:18;mantap;5;Google Play Store;;Netral
Yudi Kurniawan;12/11/2025 02:47;baik sekali;5;Google Play Store;;Positif
irwan tahir;10/11/2025 06:00;Starlink alat internet terbaik;5;Google Play Store;;Positif
PANJI HITAM 88;10/11/2025 03:34;good;5;Google Play Store;;Netral
Agus Yanti;10/11/2025 03:30;mantap;5;Google Play Store;;Netral
Edwin F;09/11/2025 15:58;Is The Best;5;Google Play Store;;Netral
Toko Permaya;09/11/2025 09:50;ngelag;1;Google Play Store;;Netral
PRASETYO_ OFFICIAL_PLG;08/11/2025 16:49;tolong ditambah tombol delete di pause device nya biar yg udh ter Pause bisa di hapus secara permanen di aplikasi, biar tidak menyusahkan untuk mengunpause 1per 1;3;Google Play Store;;Negatif
Aido;08/11/2025 13:50;sangat puas dengan sinyal yang di sediakan;5;Google Play Store;;Netral
Supardi;08/11/2025 12:33;sangat baik;4;Google Play Store;;Positif
Adi Hidayat;08/11/2025 03:00;sekarang tidak bisa mengontrol starlink saya dari jarak jauh, padahal diawal bisa. sayang sekali jika fitur ini tidak tersedia lagi 😪;3;Google Play Store;;Netral
Fajar Suryanto;07/11/2025 14:21;tidak bisa login akun di aplikasi, meskipun sudah di uninstall dan install kembali;5;Google Play Store;;Negatif
A Prim;07/11/2025 13:35;good;4;Google Play Store;;Netral
Urang Kampung;07/11/2025 02:06;untuk di pedesaan sangatlah bagus, tapi masih lumayan MAHAL untuk paket perbulan;5;Google Play Store;;Positif
Nasib Panggabean;06/11/2025 20:57;ok 👍🏽;5;Google Play Store;;Netral
Franco Baresi;06/11/2025 13:58;Terbaikkkkkk😎😎😎;5;Google Play Store;;Positif
arifin agus;06/11/2025 09:33;sangat baik....;5;Google Play Store;;Positif
Anadin Wong;06/11/2025 06:48;sangat memuaskan;5;Google Play Store;;Positif
Lucky Yalinap;06/11/2025 05:20;mantap;5;Google Play Store;;Netral
Khaerul Xulo;06/11/2025 04:09;Dengan Starlink urusan internet jadi nyaman 👍👍👍;5;Google Play Store;;Positif
Johan Saputra;05/11/2025 14:19;mudah2an lancar trus;5;Google Play Store;;Positif
Ega Permana;05/11/2025 08:50;lebih bagus kalo hujan ga jelek jaringan upgrade;5;Google Play Store;;Netral
Raden Naufal;05/11/2025 08:34;mantap gurih;5;Google Play Store;;Netral
Yoab Lengket;05/11/2025 02:09;mantul;5;Google Play Store;;Netral
Kacong Wafi;05/11/2025 00:59;ok;5;Google Play Store;;Netral
Inayah kumel;04/11/2025 09:47;bagus dan terbaik;5;Google Play Store;;Positif
dedi kurnia;04/11/2025 08:18;fitur mudah digunakan;5;Google Play Store;;Positif
muhammad suhaili;04/11/2025 04:26;baik;5;Google Play Store;;Positif
Berori Nur;04/11/2025 01:18;mantab om membantu yg terpencil. terimakasih banyak Starlink sudah membantu kami.;5;Google Play Store;;Positif
Wet papua;03/11/2025 06:26;mantap;5;Google Play Store;;Netral
SINAR BASKORO;02/11/2025 23:54;berfungsi dengan sangat baik;5;Google Play Store;;Positif
Mudiyono;02/11/2025 14:23;Sinyal internet yang bagus di manapun berada;5;Google Play Store;;Positif
Galaxy Joko;02/11/2025 01:23;cukup puas;1;Google Play Store;;Netral
roy mandagi;02/11/2025 00:08;mantap;5;Google Play Store;;Netral
Indra Mikael;01/11/2025 05:11;mantap di pedalaman;5;Google Play Store;;Netral
annisa alya;31/10/2025 07:35;saya tidak bisa melakukan pembayaran,saldo saya mencukupi,dan saya sudah melakukan pembayaran metode lain,dan juga lapor ke pihak bank;1;Google Play Store;;Negatif
Riyadi Tandra;30/10/2025 23:16;ini yang aku cari untuk daerah 3T;5;Google Play Store;;Netral
Zoya Cp;30/10/2025 16:21;sangat sangat bagus;5;Google Play Store;;Positif
Robert Pattinson;30/10/2025 15:58;Yah Thanks Developer. Berkat Aplikasi Ini Saya Mengakses Speed Internet Saya Secara pribadi. Thanks Developer ⭐⭐⭐⭐⭐;5;Google Play Store;;Positif
Pikri Pikri;30/10/2025 14:16;ok;5;Google Play Store;;Netral
Bayu Suderajat;30/10/2025 09:29;ok;5;Google Play Store;;Netral
andi zaddam;29/10/2025 06:07;nice;5;Google Play Store;;Netral
Jemmy george Kereh;29/10/2025 02:41;mantap;5;Google Play Store;;Netral
